# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	387
#@/user_id	e3e89c7d-ca71-4fde-a976-09d0756b60c7
xian zai 	现在	c=2 d=1.48893 t=387
xiang xia 	向下	c=1 d=0.932394 t=387
xiang you 	向右	c=2 d=1.7291 t=387
xiang zuo 	向左	c=2 d=1.71189 t=387
xin de 	新的	c=1 d=0.970446 t=387
yi 	一	c=1 d=0.891366 t=387
yi dong 	移动	c=2 d=1.73777 t=387
yi dong dao 	移动到	c=2 d=1.58862 t=387
yi dong de 	移动的	c=1 d=0.748264 t=387
yi ge 	一个	c=3 d=2.08073 t=387
yi ge chuang kou 	一个窗口	c=1 d=0.71177 t=387
yi ji 	以及	c=1 d=0.970446 t=387
yi jing 	已经	c=1 d=0.980199 t=387
ying gai 	应该	c=3 d=2.01029 t=387
yong 	用	c=7 d=3.6127 t=387
yong dai li 	用代理	c=1 d=0.995012 t=387
yong de 	用的	c=0 d=0.0891366 t=387
yong ta men 	用它们	c=1 d=0.826959 t=387
yong yi ge 	用一个	c=1 d=0.755784 t=387
you 	有	c=2 d=1.70908 t=387
you 	由	c=2 d=1.36 t=387
you hen duo 	有很多	c=1 d=0.814647 t=387
you na xie 	有哪些	c=1 d=0.831104 t=387
you shen me 	有什么	c=1 d=1.06584 t=387
you shen me ming e 	有什么名额	c=1 d=0.810584 t=387
you wen ti 	有问题	c=1 d=0.97531 t=387
yu 	与	c=1 d=0.818731 t=387
yuan ben 	原本	c=2 d=1.75991 t=387
yuan lai de 	原来的	c=1 d=0.759572 t=387
zai 	再	c=4 d=3.36756 t=387
zai 	在	c=6 d=4.40745 t=387
zai ci 	再次	c=1 d=0.865022 t=387
zen me ban 	怎么办	c=3 d=2.18824 t=387
zhao 	找	c=1 d=0.909373 t=387
zhao dao 	找到	c=0 d=0.0932394 t=387
zhao dao di 	找到底	c=1 d=0.937067 t=387
zhe ge 	这个	c=4 d=2.58859 t=387
zhe ge han shu 	这个函数	c=1 d=0.965605 t=387
zhe liang tiao 	这两条	c=1 d=0.932394 t=387
zhe san ge 	这三个	c=1 d=0.980199 t=387
zhe shi 	这是	c=1 d=0.99005 t=387
zhe xie 	这些	c=1 d=0.852144 t=387
zhe yang 	这样	c=1 d=0.88692 t=387
zhe yang de 	这样的	c=1 d=0.937067 t=387
zhen shi 	真实	c=1 d=0.82065 t=387
zhen shi wen jian 	真实文件	c=1 d=0.839457 t=387
zheng ce 	政策	c=1 d=0.985112 t=387
zheng chang 	正常	c=1 d=0.99005 t=387
zheng que 	正确	c=1 d=0.923116 t=387
zheng zai 	正在	c=1 d=0.882497 t=387
zhi 	只	c=2 d=1.77703 t=387
zhi hou 	之后	c=3 d=2.42448 t=387
zhi xiang 	指向	c=1 d=0.831104 t=387
zhi xing 	执行	c=1 d=0.860708 t=387
zhi zhen 	指针	c=2 d=1.79015 t=387
zhong duan 	终端	c=1 d=0.865022 t=387
zhuang tai 	状态	c=1 d=0.960789 t=387
zi cheng 	自成	c=1 d=0.965605 t=387
zi dong hua 	自动化	c=1 d=0.932394 t=387
zi ji 	自己	c=1 d=0.960789 t=387
zi ji de 	自己的	c=1 d=0.923116 t=387
zi qi dong 	自启动	c=1 d=1 t=387
zi ti 	字体	c=2 d=1.74307 t=387
zu gou le 	足够了	c=1 d=0.946485 t=387
zu he 	组合	c=1 d=0.955997 t=387
zuo bian de 	左边的	c=1 d=0.718924 t=387
zuo yong 	作用	c=1 d=1 t=387
